CRN,SPEED_LIMIT,RDWY_COUNTY
2003015798,35.0,40
2003015798,45.0,40
2003015798,,40
2003093886,55.0,40
2005119129,,67
2003066048,30.0,67
2002061399,25.0,21
2002061399,25.0,21
2002054038,25.0,67
2002054038,25.0,67
2005113777,25.0,9
2005113777,45.0,9
2003017956,35.0,46
2003036940,25.0,46
2002226945,35.0,41
2003047808,,67
2003047808,,67
2003056425,,67
2003056425,35.0,67
2003056425,,67
2003056425,,67
2003041733,25.0,2
2002216966,25.0,46
2002216966,35.0,46
2002216966,35.0,46
2003056499,,67
2003056499,,67
2003033967,25.0,15
2003033967,,15
2003021107,35.0,67
2003021107,,67
2002230974,25.0,6
2002230974,,6
2005177180,25.0,67
2005177180,25.0,67
2002226418,35.0,41
2002226418,35.0,41
2002223421,25.0,38
2002223421,25.0,38
2002226156,25.0,23
2003037316,50.0,28
2003037316,55.0,28
2002215636,25.0,45
2002215636,25.0,45
2003031864,55.0,44
2003031864,,44
2003031864,,44
2002229266,,48
2002229266,,48
2003020095,55.0,43
2003006066,,51
2002215264,,48
2002215264,,48
2002226562,,46
2002216605,,48
2002216605,,48
2005110017,35.0,39
2005110017,35.0,39
2003021229,30.0,39
2003021229,30.0,39
2002231747,25.0,6
2003042855,25.0,67
2003042855,30.0,67
2003042855,25.0,67
2003042855,30.0,67
2003026036,,67
2003016438,25.0,67
2003023762,25.0,67
2003023762,25.0,67
2002221471,35.0,23
2002217378,25.0,9
2002217378,,9
2002212481,25.0,6
2002212481,25.0,6
2002213237,25.0,46
2002213237,,46
2002224897,25.0,15
2002224897,35.0,15
2002217654,,9
2002216264,25.0,46
2002216264,25.0,46
2003031791,15.0,67
2003050346,35.0,67
2003039683,,32
2003039683,,32
2003038767,25.0,67
2003056502,25.0,67
2003034402,35.0,46
2003034402,40.0,46
2003034402,35.0,46
2003034402,40.0,46
2002213473,35.0,46
2002213473,20.0,46
2003009920,25.0,66
2003009920,25.0,67
2002204933,35.0,37
2003032884,25.0,67
2003026041,25.0,67
2003026041,25.0,67
2002230544,25.0,6
2002230544,25.0,6
2003022328,25.0,67
2003025707,35.0,40
2003025707,35.0,40
2003025707,,40
2003038727,,67
2003038756,,67
2003038756,,67
2003038756,,67
2003040729,,46
2003040729,,46
2005179471,,67
2005179471,,67
2003023601,55.0,2
2003050346,35.0,67
2003054037,35.0,67
2003024755,,67
2003024755,,67
2006071788,,36
2006071788,,36
2003030881,,67
2005195500,,46
2002230535,25.0,6
2002230535,25.0,6
2003057679,25.0,67
2006056724,25.0,67
2006056724,25.0,67
2003069042,25.0,67
2003069042,,67
2002220864,35.0,15
2002220864,,15
2002219816,25.0,10
2002219816,25.0,10
2003017510,25.0,7
2003017510,25.0,7
2002065597,25.0,21
2003043589,,67
2003043589,25.0,67
2003057680,25.0,67
2003057680,25.0,67
2003044179,25.0,67
2003033095,35.0,39
2003033095,35.0,39
2003012165,,64
2003012165,25.0,64
2002220043,,4
2002202675,25.0,23
2002215445,25.0,11
2003044342,25.0,39
2003068918,15.0,36
2003068918,15.0,36
2003040157,40.0,43
2003040157,35.0,43
2005117154,25.0,32
2005117154,25.0,32
2003026992,,39
2003026992,,39
2003010931,25.0,64
2003010931,25.0,64
2003039119,35.0,38
2003039119,35.0,38
2003042139,25.0,48
2005165465,25.0,14
2002240078,55.0,15
2002240078,25.0,15
2005123586,25.0,14
2002211378,25.0,40
2003020402,35.0,14
2003020402,,14
2002218972,25.0,28
2002218972,25.0,28
2003022330,25.0,2
2003022330,10.0,2
2002216087,25.0,10
2002017756,35.0,28
2002017756,35.0,28
2002049540,35.0,28
2002049540,35.0,28
2002049879,30.0,40
2002234013,25.0,2
2002234013,25.0,2
2003024604,35.0,40
2005116692,35.0,25
2005116692,35.0,25
2005116692,25.0,25
2002065361,35.0,36
2003036935,40.0,46
2002241308,25.0,23
2002241308,25.0,23
2002211925,25.0,38
2002211925,25.0,38
2005021293,35.0,67
2003024887,,67
2003024887,,67
2003036757,40.0,48
2003025738,25.0,2
2003025738,25.0,2
2002065808,35.0,58
2002065808,25.0,58
2003021184,35.0,40
2002063465,,67
2002063465,,67
2002049479,,67
2002049479,30.0,67
2003041842,,67
2003041842,,67
2003030757,45.0,9
2003061123,25.0,67
2003061123,25.0,67
2003061123,25.0,67
2002219491,15.0,38
2002219491,15.0,38
2003041735,25.0,2
2003041735,25.0,2
2002225760,25.0,23
2002220904,45.0,46
2003012265,25.0,46
2006101030,35.0,35
2003067696,35.0,67
2003067696,25.0,67
2005171618,35.0,67
2003030871,,67
2002216487,25.0,36
2002216487,,36
2003032018,45.0,45
2003051977,35.0,41
2003034304,25.0,67
2002230553,35.0,41
2002230553,35.0,41
2003023096,25.0,35
2003023096,25.0,35
2003035401,,67
2003035401,,67
2005168145,35.0,58
2003010265,25.0,67
2003010265,25.0,67
2005114211,30.0,67
2005114211,30.0,67
2005114211,20.0,67
2003032861,35.0,21
2003032861,55.0,21
2003024754,40.0,67
2005118829,,67
2005118829,35.0,67
