CRN,GRADE,IMPACT_POINT,RDWY_ALIGNMENT,UNIT_NUM,VEH_MOVEMENT,VEH_POSITION,VEH_ROLE,VEH_TYPE,PC_HDLGHT_IND,PC_HLMT_IND,PC_REAR_RFLTR_IND
2002217647,9.0,4.0,9.0,2,99.0,0.0,2.0,20.0,U,U,U
2003046191,3.0,12.0,1.0,2,1.0,98.0,1.0,20.0,U,U,U
2002066852,1.0,3.0,1.0,1,1.0,6.0,2.0,20.0,U,U,U
2003047558,1.0,7.0,1.0,2,99.0,1.0,2.0,20.0,U,U,U
2002227393,9.0,11.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2003041650,3.0,12.0,1.0,1,1.0,1.0,2.0,20.0,U,Y,U
2003006272,1.0,2.0,1.0,1,1.0,7.0,2.0,20.0,U,U,U
2002219087,9.0,6.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002067419,3.0,12.0,1.0,1,1.0,8.0,1.0,20.0,U,U,U
2002051227,1.0,10.0,2.0,2,8.0,13.0,1.0,20.0,U,Y,U
2002239527,9.0,12.0,9.0,2,99.0,0.0,1.0,20.0,U,U,U
2002068643,1.0,11.0,1.0,1,13.0,11.0,2.0,20.0,U,U,U
2003047607,1.0,10.0,1.0,2,10.0,98.0,1.0,20.0,U,Y,U
2003009318,1.0,12.0,1.0,1,1.0,13.0,1.0,20.0,U,U,U
2002215819,9.0,1.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2003026403,1.0,2.0,1.0,2,1.0,1.0,2.0,20.0,Y,Y,Y
2003064355,2.0,99.0,3.0,2,17.0,99.0,1.0,20.0,N,U,U
2003063952,1.0,99.0,1.0,1,99.0,99.0,2.0,20.0,U,Y,U
2002225143,9.0,3.0,9.0,2,99.0,9.0,2.0,20.0,U,U,U
2003041733,3.0,9.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002225675,9.0,3.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002226517,9.0,6.0,1.0,2,1.0,9.0,2.0,20.0,U,U,U
2002226517,9.0,12.0,1.0,3,1.0,9.0,2.0,20.0,U,U,U
2002202936,9.0,12.0,1.0,2,1.0,1.0,1.0,20.0,U,U,U
2002228104,9.0,9.0,9.0,2,99.0,98.0,2.0,20.0,U,U,U
2005123055,1.0,9.0,1.0,2,2.0,98.0,2.0,20.0,U,U,U
2002214772,9.0,99.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002218217,9.0,6.0,1.0,1,1.0,1.0,2.0,20.0,U,U,U
2002215298,9.0,9.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002238773,9.0,6.0,9.0,1,3.0,3.0,2.0,20.0,U,U,U
2003006372,9.0,99.0,9.0,2,99.0,99.0,2.0,20.0,N,Y,U
2002222221,9.0,12.0,1.0,2,1.0,1.0,1.0,21.0,U,U,U
2003044300,1.0,6.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002217722,9.0,10.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2003030069,1.0,0.0,1.0,1,1.0,1.0,1.0,20.0,U,U,U
2002230328,9.0,12.0,9.0,1,12.0,1.0,2.0,20.0,U,U,U
2003049638,1.0,6.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002202837,9.0,12.0,3.0,1,17.0,1.0,1.0,20.0,U,U,U
2003057011,1.0,12.0,1.0,2,10.0,9.0,1.0,20.0,U,U,U
2002017753,1.0,11.0,1.0,1,1.0,12.0,2.0,20.0,U,U,U
2002237610,9.0,99.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2002210105,9.0,1.0,1.0,1,1.0,1.0,1.0,20.0,U,U,U
2002223832,9.0,4.0,9.0,2,10.0,1.0,2.0,20.0,U,U,U
2003071789,2.0,3.0,1.0,2,2.0,6.0,2.0,20.0,U,U,U
2003071688,1.0,12.0,1.0,1,1.0,3.0,1.0,20.0,U,U,U
2003025944,9.0,99.0,9.0,1,99.0,99.0,1.0,20.0,U,U,U
2005118604,9.0,9.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2002245116,9.0,12.0,1.0,1,1.0,1.0,2.0,20.0,U,U,U
2005113739,1.0,12.0,1.0,2,1.0,1.0,2.0,20.0,U,U,U
2006069322,9.0,99.0,1.0,2,99.0,1.0,2.0,20.0,U,U,U
2002231077,9.0,12.0,9.0,1,4.0,1.0,1.0,21.0,U,U,U
2002061046,3.0,12.0,1.0,1,1.0,0.0,1.0,20.0,U,U,U
2002230036,9.0,99.0,9.0,1,12.0,1.0,1.0,20.0,U,U,U
2002218320,9.0,1.0,9.0,2,99.0,8.0,1.0,20.0,U,U,U
2003068817,1.0,11.0,1.0,2,1.0,98.0,2.0,20.0,U,U,U
2003008471,9.0,9.0,1.0,2,1.0,99.0,2.0,20.0,U,U,U
2002230213,9.0,8.0,9.0,2,12.0,1.0,2.0,20.0,U,U,U
2003023168,1.0,12.0,1.0,2,1.0,11.0,1.0,20.0,U,U,U
