,CRN,RDWY_SEQ_NUM,ADJ_RDWY_SEQ,ROUTE,SEGMENT,OFFSET,RDWY_ORIENT,LANE_COUNT,SPEED_LIMIT,STREET_NAME,ROAD_OWNER,ACCESS_CTRL,RDWY_COUNTY
194,2003032940,3,3,0291,120.0,1114.0,E,2.0,25.0,MOYAMENSING AV,2.0,3.0,67
195,2002225675,3,3,2009,40.0,0.0,N,2.0,40.0,BLACK LN,2.0,3.0,1
196,2002225675,4,4,T476,,0.0,E,99.0,35.0,OXFORD AV,4.0,,1
197,2002067419,3,4,,,,E,2.0,35.0,CENTER ST,4.0,,48
198,2002067419,4,3,,,,N,2.0,35.0,MILLER ST,4.0,,48
199,2002226517,3,3,0625,170.0,2978.0,N,2.0,45.0,,2.0,3.0,36
200,2002053918,3,3,1015,31.0,2770.0,S,2.0,35.0,KNIGHTS RD,2.0,3.0,67
201,2002053918,4,4,,,,W,2.0,,WOODHAVEN RD,4.0,,67
202,2003030752,3,3,,,,S,2.0,,RIDGEWOOD RD,4.0,,46
203,2003041650,3,3,,,,U,2.0,35.0,NOBLESTOWN RD,4.0,,2
204,2003044300,4,3,,,,W,2.0,25.0,BROAD ST,4.0,,2
205,2003044300,3,4,,,,N,2.0,25.0,NEGLEY AV,4.0,,2
206,2003006372,3,4,,,,N,2.0,25.0,GILBERT ST,4.0,,35
207,2003006372,4,3,,,,E,2.0,25.0,DURKIN AV,4.0,,35
208,2003024745,4,3,,,,W,2.0,25.0,ASPEN ST,4.0,,67
209,2003024745,3,4,,,,N,2.0,25.0,FIFTIETH ST,4.0,,67
210,2003050170,5,4,,,,N,2.0,,JUDSON ST,4.0,,67
211,2003050170,3,3,2014,20.0,2651.0,E,2.0,30.0,LEHIGH AV,2.0,3.0,67
212,2003050170,4,5,,,,N,2.0,,TWENTYTHIRD ST,4.0,,67
213,2002218217,3,3,,,0.0,N,99.0,25.0,MORGAN ST,4.0,,2
214,2002218217,4,4,,,0.0,E,99.0,,AAR 510862S RR,7.0,,2
215,2003019930,4,3,,,,S,1.0,35.0,PASSYUNK AV,4.0,,67
216,2003019930,3,4,,,,E,1.0,35.0,CHRISTIAN ST,4.0,,67
217,2003022408,4,3,,,,N,1.0,35.0,SIXTEENTH ST,4.0,,67
218,2003022408,3,4,,,,E,1.0,35.0,WHARTON ST,4.0,,67
219,2003030104,3,3,3010,50.0,0.0,E,2.0,25.0,MARKET ST,2.0,3.0,67
220,2003030104,4,4,3010,51.0,0.0,W,2.0,25.0,MARKET ST,2.0,3.0,67
221,2003030104,5,5,,,,S,2.0,25.0,FORTYTHIRD ST,4.0,,67
222,2003034407,3,3,T656,,,S,2.0,55.0,RETTEW MILL RD,4.0,,36
223,2003034407,4,4,T999,,,E,2.0,,HILL DALE DR,4.0,,36
224,2003035695,4,3,,,,E,1.0,25.0,TIBBITS AV,4.0,,42
225,2003035695,3,4,,,,S,2.0,25.0,CONGRESS ST,4.0,,42
226,2003038740,4,4,,,,E,2.0,25.0,SPRUCE ST,4.0,,67
227,2003038740,3,3,0291,181.0,526.0,W,3.0,25.0,BROAD ST,2.0,3.0,67
228,2003023304,4,3,,,,W,2.0,25.0,FIFTH ST,4.0,,25
229,2003023304,3,4,,,,N,2.0,25.0,PEACH ST,4.0,,25
230,2003029647,3,4,,,,E,2.0,25.0,REED ST,4.0,,67
231,2003029647,4,3,,,,S,2.0,25.0,SIXTH ST,4.0,,67
232,2003043517,3,4,,,,W,2.0,25.0,PRATT ST,4.0,,67
233,2003043517,4,3,,,,N,2.0,25.0,PENN ST,4.0,,67
234,2002056459,4,3,,,,N,2.0,25.0,ALDER ST,4.0,,67
235,2002056459,3,4,,,,E,2.0,35.0,MIFFLIN ST,4.0,,67
236,2002218866,3,4,0013,221.0,591.0,S,2.0,40.0,SR 0013 SH,2.0,3.0,23
237,2002218866,4,3,0013,220.0,591.0,N,2.0,40.0,SR 0013 SH,2.0,3.0,23
238,2002218866,5,5,,,0.0,N,99.0,25.0,LAMONT AV,4.0,,23
239,2002017753,3,3,0011,200.0,661.0,,2.0,45.0,NEW BERWICK HW,2.0,3.0,19
240,2003064355,3,4,,,,N,2.0,,BOUNDRY ST,4.0,,2
241,2003064355,4,3,,,,E,2.0,,JONCAIRE ST,4.0,,2
242,2002222906,3,3,,,0.0,E,99.0,25.0,CLARKE AV,4.0,,66
243,2002223744,3,3,2016,70.0,569.0,E,2.0,35.0,HIGH ST,2.0,3.0,41
244,2002223744,4,4,,,0.0,N,99.0,35.0,SPRUCE ST,4.0,,41
245,2003025191,3,3,,,,S,2.0,,TWELFTH ST,4.0,,67
246,2005099455,3,4,,,,W,1.0,25.0,TITAN ST,4.0,,67
