,CRN,ARRIVAL_TM,DISPATCH_TM,COUNTY,MUNICIPALITY,DEC_LAT,DEC_LONG,BICYCLE_DEATH_COUNT,BICYCLE_SUSP_SERIOUS_INJ_COUNT,BUS_COUNT,HEAVY_TRUCK_COUNT,SMALL_TRUCK_COUNT,SUV_COUNT,COLLISION_TYPE,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,HOUR_OF_DAY,ILLUMINATION,LOCATION_TYPE,ROAD_CONDITION,URBAN_RURAL,INTERSECT_TYPE,WEATHER1,WEATHER2,TCD_TYPE,TCD_FUNC_CD,AGGRESSIVE_DRIVING,ALCOHOL_RELATED,ANGLE_CRASH,CELL_PHONE,COMM_VEHICLE,DISTRACTED,DRINKING_DRIVER,DRUGGED_DRIVER,FATIGUE_ASLEEP,IMPAIRED_DRIVER,NHTSA_AGG_DRIVING,RUNNING_RED_LT,RUNNING_STOP_SIGN,SPEEDING_RELATED,TAILGATING,MATURE_DRIVER,YOUNG_DRIVER
23,2002050411,1439.0,1437.0,2,2478,40.4429,-79.8768,0,0,0,0,0,0,4,1,2002,2,14.0,1.0,0,1.0,3,1,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2002050447,1735.0,1729.0,67,67301,39.9979,-75.1043,0,0,0,0,0,0,4,2,2002,1,17.0,3.0,0,1.0,3,1,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2002050562,1516.0,1501.0,58,58206,,,0,0,0,0,0,0,1,4,2002,5,14.0,1.0,0,1.0,1,0,3,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,2002050660,1950.0,1450.0,67,67301,40.0316,-75.0633,0,0,0,0,0,0,6,1,2002,4,19.0,3.0,0,9.0,3,5,7,  ,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2002050689,1740.0,1730.0,67,67301,39.9708,-75.1541,0,0,0,0,0,0,4,1,2002,4,14.0,1.0,0,1.0,3,1,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2002050772,1551.0,1548.0,22,22301,,,0,0,0,0,1,0,4,6,2002,6,15.0,1.0,0,1.0,3,2,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2002050875,902.0,859.0,67,67301,39.9526,-75.1782,0,0,0,0,0,0,4,1,2002,4,8.0,1.0,7,1.0,3,0,3,  ,1,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2002050991,917.0,913.0,67,67301,40.0011,-75.0972,0,0,0,0,1,0,8,1,2002,6,9.0,1.0,0,9.0,3,2,7,  ,3,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2002051227,1345.0,1344.0,2,2108,,,0,0,0,0,0,0,5,2,2002,7,13.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2002051239,1644.0,1637.0,48,48301,40.6342,-75.348,0,0,0,0,0,0,1,2,2002,3,16.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2002051790,629.0,627.0,48,48301,40.6224,-75.382,0,0,0,0,0,0,2,2,2002,3,6.0,5.0,0,1.0,3,1,3,  ,2,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,2002051955,917.0,915.0,52,52402,41.7669,-78.0205,0,0,0,0,1,0,4,6,2002,4,9.0,1.0,0,1.0,1,1,3,  ,3,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2002052207,845.0,845.0,67,67301,40.0159,-75.1538,0,0,0,0,0,0,4,1,2002,4,18.0,3.0,7,1.0,3,1,3,  ,9,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2002052597,1329.0,1325.0,25,25302,,,0,0,0,0,0,0,4,2,2002,5,13.0,1.0,0,1.0,3,1,3,  ,2,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2002052620,1602.0,1559.0,22,22202,40.2588,-76.6367,0,0,0,0,0,0,5,1,2002,2,15.0,1.0,0,1.0,3,0,3,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2002052861,1713.0,1711.0,35,35302,,,0,0,0,0,1,0,4,3,2002,5,17.0,1.0,0,1.0,3,1,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2002053050,1929.0,1926.0,2,2301,,,0,0,0,0,0,0,4,5,2002,1,18.0,1.0,0,1.0,3,1,3,  ,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2002053175,1810.0,1807.0,25,25302,,,0,0,0,0,0,0,4,2,2002,6,18.0,4.0,0,1.0,3,1,3,  ,3,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2002053209,1716.0,1713.0,36,36410,40.1619,-76.3928,0,0,0,0,0,0,4,1,2002,3,17.0,1.0,0,1.0,2,0,3,  ,2,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2002053511,2202.0,2159.0,39,39301,,,0,0,0,0,0,0,5,1,2002,4,21.0,3.0,0,9.0,3,0,7,  ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
